Release Year,Origin/Ethnicity,Director,Cast
1991,Telugu,,"Akkineni Nagarjuna, Nagma, Sharada"
1991,Telugu,Ram Gopal Varma,"Daggubati Venkatesh, Sridevi Kapoor, Paresh Rawal"
1991,Telugu,Priyadarshan,"Akkineni Nagarjuna, Amala"
1991,Telugu,Bapu,"Rajendra Prasad, Divya Vani"
1991,Telugu,Krathi Kumar,"ANR, Meena"
1991,Telugu,V. Ravichandran,"Nagarjuna Akkineni, V. Ravichandran, Juhi Chawla, Kushboo"
1991,Telugu,,Rajendra Prasad
1992,Telugu,E. V. V. Satyanarayana,"Rajendra Prasad, Rambha, Rao Gopal Rao"
1992,Telugu,K. Vishwanath,"Chiranjeevi, Meenakshi Sheshadri, Jandhyala Subramanya Sastry"
1992,Telugu,K. Raghavendra Rao,"Mohan Babu, Meena, Ramya Krishna"
1992,Telugu,Kodi Ramakrishna,"Suresh, Meena, Satyanarayana"
1992,Telugu,Uma Maheshwara Rao,"Sarath Babu, Revathi, Om Puri, Balaiah"
1992,Telugu,Ram Gopal Varma,"Nagarjuna Akkineni, Urmila Matondkar, Danny Denzongpa"
1992,Telugu,E. V. V. Satyanarayana,"Rajendra Prasad, Shobhana, Brahmanandam, Babu Mohan"
1992,Telugu,Ravi Raja Pinisetty,"Shoban Babu, Jagapathi Babu, Rajasekhar, Ramya Krishna, Rajeevi"
1992,Telugu,Singeetam Srinivasa Rao,"Rajendra Prasad, Ramya Krishna, Anjali Devi, Kaikala Satyanarayana"
1992,Telugu,B. Gopal,"Daggubati Venkatesh, Vijayashanti, Kota Srinivasa Rao"
1992,Telugu,Ravi Raja Pinisetty,"Daggubati Venkatesh, Meena, Nasser, Sujatha"
1992,Telugu,P N Ramachandra Rao,"Naresh, Rajeevi, Brahmanandam, Subhalekha Sudhakar"
1992,Telugu,Mani Ratnam,"Rajinikanth, Mammootty, Arvind Swamy, Shobana, Geetha, Bhanupriya"
1992,Telugu,K. Rajendra,"Raj Kumar, Sumalatha, Allu Ramalingaiah"
1992,Telugu,Santhana Bharathi,"Kamal Haasan, Roshini, Girish Karnad"
1992,Telugu,Fazil,"Akkineni Nagarjuna, Nagma, Sharada"
1992,Telugu,T. V. Ramana Reddy,"Jagapathi Babu, Sharada"
1992,Telugu,A. M. Rathnam,"Jagapati Babu, Sukanya, Bhanumathi Ramakrishna"
1992,Telugu,A. Kodandarami Reddy,"Akkineni Nagarjuna, Meena, Meka Srikanth, Brahmanandam"
1992,Telugu,B. Gopal,"Balakrishna Nandamuri, Vijayashanti, Brahmanandam"
1992,Telugu,K. Raghavendra Rao,"Daggubati Venkatesh, Meena Durairaj, Aparna"
1992,Telugu,K. Vishwanath,"Mammootty, Raadhika, Master Manjunath"
1993,Telugu,A. Kodandarami Reddy,"Akkineni Nagarjuna, Naghma, Meena Durairaj, Vanisri"
1993,Telugu,K. Raghavendra Rao,"Rajasekhar, Ramya Krishna, Madhoo"
1993,Telugu,Raviraja Pinisetty,"Nandamuri Balakrishna, Ramya Krishna, Raveena Tandon"
1993,Telugu,Vamshi,"Mohan Babu, Nirosha, Mohini"
1993,Telugu,Ram Gopal Varma,"Jagapathi Babu, Revathi Menon, Urmila Matondkar, Shiva Krishna, Kota Srinivasa Rao"
1993,Telugu,S. Shankar,"Arjun Sarja, Madhoo, Shuba Sri, Goundamani, Senthil"
1993,Telugu,E. V. V. Satyanarayana,"Naresh, Aamani, Brahmanandam"
1993,Telugu,Vamshi,"Rajendra Prasad, Vani Viswanath, Shamili"
1993,Telugu,Raviraja Pinisetty,"Daggubati Venkatesh, Naghma, Suman"
1993,Telugu,Santhana Bharathi,"Kamal Hassan, Sukanya, Shobana, Poornam Vishwanathan"
1993,Telugu,K. Raghavendra Rao,"N.T. Rama Rao, Mohan Babu, Naghma, Ramya Krishna"
1993,Telugu,S. V. Krishna Reddy,"Rajendra Prasad, Soundarya"
1993,Telugu,B. Gopal,"Chiranjeevi, Akkineni Nageswara Rao, Vijayashanti"
1993,Telugu,Shiva Nageswara Rao,"J. D. Chakravarthy, Chinna, Renuka Shahane, Jayasudha, Paresh Rawal"
1993,Telugu,Bapu,"Rajendra Prasad, Aamani"
1993,Telugu,A. Kodandarami Reddy,"Chiranjeevi, Meena Durairaj, Roja Selvamani"
1993,Telugu,A. Kodandarami Reddy,"Balakrishna Nandamuri, Vijayashanti, Shobana"
1993,Telugu,S. V. Krishna Reddy,"Rajendra Prasad, Soundarya"
1993,Telugu,Uppalapati Narayana Rao,"Akkineni Nagarjuna, Shobana, Roja Selvamani, Nasser"
1993,Telugu,E. V. V. Satyanarayana,"Krishna, Nagarjuna, Naghma, Srikanth"
1994,Telugu,E. V. V. Satyanarayana,"Rajendra Prasad, Bharathi, Ravali"
1994,Telugu,K. Raghavendra Rao,"Jagapathi Babu, Soundarya, Rambha"
1994,Telugu,Singeetam Srinivasa Rao,"Nandamuri Balakrishna, Roja Selvamani, Rambha"
1994,Telugu,Kranthi Kumar,"Jagapathi Babu, Meena Durairaj, Rohini Hattangadi"
1994,Telugu,Relangi Narasimha Rao,"Rajendra Prasad, Yamuna, Satyanarayana Kaikala"
1994,Telugu,Mahesh Bhatt,"Nagarjuna Akkineni, Ramya Krishna, Manisha Koirala"
1994,Telugu,Priyadarshan,"Akkineni Nageswara Rao, Balakrishna, Mohanlal"
1994,Telugu,Ram Gopal Varma,"Nagarjuna Akkineni, Sridevi"
1994,Telugu,E. V. V. Satyanarayana,"Nagarjuna Akkineni, Soundarya, Ramya Krishna"
1994,Telugu,K. Raghavendra Rao,"Daggubati Venkatesh, Rambha, Ramya Krishna, Brahmanandam"
1994,Telugu,K. Raghavendra Rao,"Chiranjeevi, Naghma, Roja Selvamani, Ramya Krishna"
1994,Telugu,Sooraj R. Barjatya,"Salman Khan, Madhuri Dixit, Anupam Kher, Renuka Shahane, Mohnish Behl, Alok Nath, Reema Lagoo"
1994,Telugu,Raviraja Pinisetty,"Chiranjeevi, Sridevi, Harish"
1994,Telugu,S. V. Krishna Reddy,"Jagapathi Babu, Aamani, Roja Selvamani"
1994,Telugu,K. Muralimohan Rao,"Daggubati Venkatesh, Naghma"
1994,Telugu,S. V. Krishna Reddy,"Satyanarayana Kaikala, Ali, Brahmanandam, Indraja"
1995,Telugu,E. V. V. Satyanarayana,"Chiranjeevi, Ramya Krishnan, Rambha, Lakshmi"
1995,Telugu,Kodi Ramakrishna,"Suresh, Soundarya, Ramya Krishna, Baby Sunaina, Rami Reddy, Vadivukkarasi"
1995,Telugu,Vijaya Bapineedu,"Chiranjeevi, Roja Selvamani, Kota Srinivasa Rao, Madhavi"
1995,Telugu,S. V. Krishna Reddy,"Satyanarayana Kaikala, Roja Selvamani, Ali"
1995,Telugu,Relangi Narasimha Rao,"Rajendra Prasad, Surabhi, Brahmanandam, Satyanarayana Kaikala"
1995,Telugu,Raviraja Pinisetty,"Mohan Babu, Rajinikanth, Soundarya, Bhanupriya, Brahmanandam"
1995,Telugu,A. Kodandarami Reddy,"Daggubati Venkatesh, Roja Selvamani"
1995,Telugu,K. Raghavendra Rao,"Srikanth, Ravali, Deepti Bhatnagar"
1995,Telugu,Ram Gopal Varma,"Aamir Khan, Urmila Matondkar, Jackie Shroff"
1995,Telugu,Kodi Ramakrishna,"Chiranjeevi, Naghma, Soundarya, Jayasudha"
1996,Telugu,Singeetham Srinivasa Rao,"Revathi, Urvashi, Rohini, Nasser, Kamal Hassan"
1996,Telugu,E. V. V. Satyanarayana,"Pawan Kalyan, Supriya, Sarath Babu"
1996,Telugu,Virendra Sharma,"Kamal Hassan, Rati Agnihotri, Shakti Kapoor, Moushmi Chatterji"
1996,Telugu,Guna Sekhar,"Jr. NTR, Suhani"
1996,Telugu,K. S. Ravikumar,"Kamal Hassan, Gemini Ganesan, Meena Durairaj, Heera Rajagopal, Manivannan, Nagesh"
1996,Telugu,S. Shankar,"Kamal Hassan, Manisha Koirala, Urmila Matondkar, Sukanya, Senthil, Manorama, Goundamani"
1996,Telugu,K. Raghavendra Rao,"J. D. Chakravarthy, Rambha, Vanisri"
1996,Telugu,Ram Gopal Varma,"J. D. Chakravarthy, Maheshwari, Jayasudha"
1996,Telugu,Suresh Krishna,"Daggubati Venkatesh, Ramya Krishna, Prema, Brahmanandam"
1996,Telugu,Krishna Vamshi,"J. D. Chakravarthy, Maheshwari, Brahmanandam"
1996,Telugu,E. V. V. Satyanarayana,"Daggubati Venkatesh, Soundarya, Vineetha"
1996,Telugu,S. V. Krishna Reddy,"Jagapathi Babu, Aamani, Ranjitha"
1996,Telugu,Krishna Vamsi,"Nagarjuna Akkineni, Tabu, Lakshmi"
1996,Telugu,Muthyala Subbaiah,"Daggubati Venkatesh, Soundarya, S. P. Balasubramaniam"
1996,Telugu,Thriller Manju,Sai Kumar
1996,Telugu,Kathir,"Abbas, Vineeth, Tabu"
1996,Telugu,Raviraja Pinisetty,"Daggubati Venkatesh, Nagma, Sanghavi"
1997,Telugu,Ram Gopal Varma,"J. D. Chakravarthy, Urmila Matondkar, Raghuvaran, Brahmanandam"
1997,Telugu,K. Raghavendra Rao,"Nagarjuna Akkineni, Mohan Babu, Ramya Krishna, Suman, Kasthuri, Roja Selvamani, Sujatha"
1997,Telugu,Muthyala Subbaiah,"Pawan Kalyan, Raasi"
1997,Telugu,Muthyala Subbaiah,"Chiranjeevi, Rajendra Prasad, Rambha"
1997,Telugu,Mani Ratnam,"Mohanlal, Aishwarya Rai, Prakash Raj, Tabu, Revathi Menon, Gouthami Tadimalla, Nasser, Delhi Ganesh, Madhoo"
1997,Telugu,E. V. V. Satyanarayana,"Krishnam Raju, Simran Bagga, Srikanth"
1997,Telugu,Suresh Krishna,"Chiranjeevi, Sakshi Shivanand, Puneet Issar, Vijayakumar"
1997,Telugu,Rajeev Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nasser"
1997,Telugu,Dasari Narayana Rao,"Vijayashanti, Ramki, Rami Reddy"
1997,Telugu,Sharat,"Balakrishna, Roja Selvamani, Achyuth"
1997,Telugu,Kodi Ramakrishna,"Vadde Naveen, Maheshwari, Sujatha, Pruthviraj"
1997,Telugu,Jayanth C. Paranjee,"Daggubati Venkatesh, Anjala Zaveri"
1997,Telugu,Pravin Gandhi,"Nagarjuna Akkineni, Sushmita Sen, S. P. Balasubramaniam, Girish Karnad, Raghuvaran"
1997,Telugu,Bhimaneni Srinivasa Rao,"Jagapathi Babu, Mantra, Raasi"
1997,Telugu,Bhimaneni Srinivasa Rao,"Pawan Kalyan, Devayani, Raghuvaran"
1998,Telugu,Krishna Vamsi,"Soundarya, Jagapathi Babu, Sai Kumar, Prakash Raj"
1998,Telugu,Suresh Krishna,"Nagarjuna Akkineni, Simran Bagga, Deepti Bhatnagar"
1998,Telugu,Jayanth C. Paranjee,"Chiranjeevi, Rambha, Rachana Banerjee, Paresh Rawal"
1998,Telugu,Krishna Vamsi,"Nagarjuna Akkineni, Ramya Krishna, Isha Koppikar"
1998,Telugu,Gunasekhar,"Chiranjeevi, Soundarya, Anjala Zhaveri, Prakash Raj"
1998,Telugu,S. V. Krishna Reddy,"Rajasekhar, Ramya Krishna, S. P. Balasubramaniam"
1998,Telugu,Tirupathi Swamy,"Daggubati Venkatesh, Rambha, Madhoo, Prema, Kota Srinivasa Rao"
1998,Telugu,Jayanth C. Paranjee,"Daggubati Venkatesh, Preity Zinta"
1998,Telugu,A. Karunakaran,"Pawan Kalyan, Keerthi Reddy"
1999,Telugu,E. V. V. Satyanarayana,"Srikanth, Vadde Naveen, Malavika, Asha Saini"
1999,Telugu,Thulasi Kumar,"J. D. Chakravarthy, Raasi, Brahmanandam"
1999,Telugu,K. Raghavendra Rao,"Chiranjeevi, Ramya Krishna, Sakshi Shivanand"
1999,Telugu,Muthyala Subbaiah,"Balakrishna, Raasi, Meena, Abbas, Chandra Mohan"
1999,Telugu,Suresh Varma,"Vadde Naveen, Raasi"
1999,Telugu,S. V. Krishna Reddy,"Jagapati Babu, Meka Srikanth, Mahima Chowdhary"
1999,Telugu,Srinu Vaitla,"Ravi Teja, Maheshwari"
1999,Telugu,S. V. Krishna Reddy,"J. D. Chakravarthy, Soundarya, Prakash Raj, Ravi Teja"
1999,Telugu,Muppulaneni Siva,"Daggubati Venkatesh, Soundarya, Abbas"
1999,Telugu,Jayanth C. Paranjee,"Nagarjuna Akkineni, Anjala Zhaveri, Keerthi Reddy, Jagapati Babu"
1999,Telugu,B. Gopal,"Nandamuri Balakrishna, Simran Bagga, Anjala Zhaveri, Sanghavi"
1999,Telugu,Krishna Vamsi,"Jagapati Babu, Sakshi Shivanand, Ravi Teja, Prakash Raj"
1999,Telugu,Sashi,"Daggubati Venkatesh, Twinkle Khanna, Prakash Raj"
1999,Telugu,Bhimaneni Srinivasa Rao,"Jagapati Babu, Raasi, Brahmanandam"
1999,Telugu,P. A. Arun Prasad,"Pawan Kalyan, Aditi Gowitrikar, Preeti Jhangiani, Kamal Kumar"
1999,Telugu,Kathir,"Kunal, Sonali Bendre, Nasser, Manivannan, Rambha, Goundamani"
1999,Telugu,S. Shankar,"Arjun Sarja, Manisha Koirala, Laila Mehdin, Sushmita Sen, Raghuvaran, Manivannan"
1999,Telugu,K. S. Ravikumar,"Rajinikanth, Soundarya, Shivaji Ganesan, Ramya Krishnan, Lakshmi, Abbas"
1999,Telugu,Praveen Kanth,"Prashanth, Simran Bagga, Ramesh Aravind, Isha Koppikar, Trisha Krishnan"
2000,Telugu,S. V. Krishna Reddy,"J. D. Chakravarthi, Rambha, Laya"
2000,Telugu,Mutyala Subbayya,"Chiranjeevi, Ravi Teja, Soundarya, Simran, Sharath Babu"
2000,Telugu,Sharath,"Balakrishna Nandamuri, Sakshi Shivanand, Ramya Krishna, Krishnam Raju"
2000,Telugu,Udayasankar,"Venkatesh, Simran"
2000,Telugu,Raja Vannem Reddy,"Srikanth, Rajendra Prasad, Roja, Brahmanandam, Ramya Krishna, Kovai Sarala, Prakash Raj"
2000,Telugu,Siva Nageswara Rao,"Nagendra Babu, Jayasudha, Brahmanandam"
2000,Telugu,E.V.V.Sathyanarayana,"Srikanth, Malavika, Vadde Naveen, Asha Saini"
2000,Telugu,Pratap,"Akkineni Nagarjuna, Simran, Isha Koppikar"
2000,Telugu,Y. V. S. Chowdary,"Mahesh Babu, Simran, Sakshi Shivanand"
2000,Telugu,Puri Jagannadh,"Pawan Kalyan, Ameesha Patel, Renu Desai, Prakash Raj"
2000,Telugu,Gunashekar,"Jagapathi Babu, Laya, Prakash Raj"
2000,Telugu,Karunakaran,"Sumanth, Bhoomika Chawla, Jaya Sudha"
2000,Telugu,Teja,"Uday Kiran, Reema Sen"
2000,Telugu,E. V. V. Satyanarayana,"Balakrishna Nandamckclocuri, Simran, Sanghavi"
2000,Telugu,Kranthi Kumar,"Vikram, Soundarya"
2000,Telugu,K. Raghavendra Rao,"Jagapathi Babu, Soundarya, Rambha, Raasi"
2000,Telugu,Tirupathy Swami,"Akkineni Nagarjuna, Raghuvaran, Soundarya, Shilpa Shetty, Prakash Raj"
2000,Telugu,B. Gopal,"Mahesh Babu, Namrata Shirodkar, Krishna Ghattamaneni"
2000,Telugu,N. Shankar,"Venkatesh, Soundarya"
2000,Telugu,Vijayabhaskar,"Tarun Kumar, Richa Pallod, Saikiran"
2000,Telugu,Kodi Ramakrishna,"Ramya Krishna, Raasi, Srikanth, Laya, Rajendra Prasad"
2000,Telugu,Vijaybhaskar,"Venu Thottempudi, Shaheen Khan, Sunil"
2000,Telugu,S. V. Krishna Reddy,"Akkineni Nageshwara Rao, Srikanth, Suhasini Maniratnam, Jayalakshmi"
2001,Telugu,Gunasekhar,"Chiranjeevi, Simran, Nagendra Babu"
2001,Telugu,B. Gopal,"Nandamuri Balakrishna, Simran, K Vishwanath"
2001,Telugu,Kodi Ramakrishna,"Venkatesh, Soundarya, Anjala Zaveri"
2001,Telugu,Balasekaran,"Tarun Kumar, Sneha"
2001,Telugu,Relangi Narasimha Rao,"Rajendra Prasad, Suman"
2001,Telugu,Krishna Vamsi,"Mahesh Babu, Sonali Bendre"
2001,Telugu,S. V. Krishna Reddy,"Jagapati Babu, Ravi Teja, Ramya Krishnan"
2001,Telugu,Srinivasa Rao,"Akkineni Nagarjuna, Soundarya, Shenaz Treasurywala"
2001,Telugu,Boyani Subbarao,"Sai Kiran, Laya"
2001,Telugu,M V Murali Krishna,"Srikanth, Shaheen Khan"
2001,Telugu,S. J. Suryah,"Pawan Kalyan, Bhoomika Chawla, Mumtaj"
2001,Telugu,Udayasankar,"Venkatesh, Simran"
2001,Telugu,KS Ravikumar,"Akkineni Nagarjuna, Simran, Reema Sen"
2001,Telugu,P. A. Arun Prasad,"Balakrishna Nandamuri, Shilpa Shetty, Anjala Zaveri"
2001,Telugu,K Raghavendra Rao,"Arjun, Soundarya, Chiranjeevi, Meena Durairaj"
2001,Telugu,Muthyala Subbaiah,"Gopichand, Sneha"
2001,Telugu,Teja,"Uday Kiran, Anitha"
2001,Telugu,Singeetam Srinivasa Rao,"Akkineni Nagarjuna, Raveena Tandon"
2001,Telugu,Vijaya Bhaskar,"Venkatesh, Arthi Agarwal"
2001,Telugu,Puri Jagannadh,"Ravi Teja, Tanu Roy"
2001,Telugu,Ravi Raja Pinisetty,"Mohan Babu, Akkineni Nagarjuna, Preeti Jhangiani, Soundarya"
2001,Telugu,Radha Krishna,"Ravi Teja, Sanghavi, Sivaji"
2001,Telugu,S. S. Rajamouli,"Jr. NTR, Gajala"
2001,Telugu,Srinu Vaitla,"Jai Akash, Rekha Vedavyas"
2001,Telugu,Suresh Krishna,"Chiranjeevi, Simran, Ashima Bhalla"
2001,Telugu,V. N. Aditya,"Uday Kiran, Reema Sen"
2001,Telugu,Balasekaran,"Akkineni Nagarjuna, Sumanth, Bhoomika Chawla"
2001,Telugu,Jyothi Kumar,"Rajendra Prasad, Bhavana, Brahmanandam"
2001,Telugu,K.Balachander,"R. Madhavan, Simran Bagga, Sneha, Lawrence Raghavendra"
2001,Telugu,Vikram Kumar,"Charan, Shriya Saran"
2001,Telugu,Mohan Raja,"Jagapati Babu, Arjun"
2001,Telugu,Rudraraju Suresh Varma,"Jr. NTR, Sonali Joshi"
2002,Telugu,G. Ram Prasad,"Nandamuri Balakrishna, Simran, Reemma Sen, P. Vasu"
2002,Telugu,Jayanth C. Paranjee,"Mahesh Babu, Lisa Ray, Bipasha Basu, Krishna Ghattamaneni"
2002,Telugu,S. V. Krishna Reddy,"J. D. Chakravarthy, Soundarya"
2002,Telugu,Jeevitha Rajashekar,"Rajasekhar, Kalyani, Nasser"
2002,Telugu,A. Karunakaran,"Venkatesh, Bhoomika Chawla"
2002,Telugu,YVS Chowdary,"Nandamuri Harikrishna, Bhanupriya, Rachana Banerjee, Ankitha"
2002,Telugu,Dasaradh,"Akkineni Nagarjuna, Gracy Singh, Prabhu Deva, Shriya Saran"
2002,Telugu,Ravi Babu,"Naresh, Anuradha Mehta"
2002,Telugu,K. Subhaash,"Prabhu Deva, Jyothika, Raju Sundaram, Nagendra Prasad"
2002,Telugu,Teja,"Nitin, Sadha, Tottempudi Gopichand"
2002,Telugu,V. N. Aditya,"Uday Kiran, Anitha Hassanandani, Ashish Vidyarthi"
2002,Telugu,B. Gopal,"Chiranjeevi, Sonali Bendre, Aarti Agarwal"
2002,Telugu,Vamsi,"Ravi Teja, Kalyani"
2002,Telugu,Puri Jagannadh,"Ravi Teja, Rakshita"
2002,Telugu,Srinu Vaitla,"Aryan Rajesh, Namitha, Rohith, Sunil"
2002,Telugu,V. V. Vinayak,"Nandamuri Balakrishna, Shriya Saran, Tabu, Devayani"
2002,Telugu,Trivikram Srinivas,"Tarun, Shriya Saran, Prakash Raj"
2002,Telugu,,"Venkatesh, Namitha, Mumtaj"
2002,Telugu,Kodi Ramakrishna,"Jai Akash, Shamita Shetty"
2002,Telugu,Sobhan,"Mahesh Babu, Aarti Agarwal"
2002,Telugu,Parichuri Murali,"Uday Kiran, Aarti Agarwal, Jatin Grewal"
2002,Telugu,V Samudra,"Jagapathi Babu, Mounika, Venkat, Nandamuri Harikrishna"
2002,Telugu,Jayanth C. Paranjee,"Prabhas, Sridevi Vijayakumar, Revathi"
2002,Telugu,Krishna Vamshi,"Ravi Teja, Srikanth, Sonali Bendre, Prakash Raj, Kim Sharma, Sangeetha"
2002,Telugu,E. V. V. Satyanarayana,"Allari Naresh, Prabhu Deva, Sunil, Anitha, Gajala"
2002,Telugu,Muppalaneni Siva,"Rajendra Prasad, Jagapathi Babu, Raasi"
2002,Telugu,K. Vijaya Bhaskar,"Akkineni Nagarjuna, Sonali Bendre, Anshu"
2003,Telugu,Gunasekhar,"Mahesh Babu, Bhoomika Chawla, Prakash Raj, Ashish Vidyarthi"
2003,Telugu,Suresh Krissna,"Prabhas, Shweta Agarwal, Anshu, Brahmanandam, Murali Mohan"
2003,Telugu,K. Raghavendra Rao,"Allu Arjun, Aditi Agarwal, Suman, Prakash Raj"
2003,Telugu,V. V. Vinayak,"Nitin, Neha, Prakash Raj"
2003,Telugu,Chandrashekar Yeleti,"Sashank, Sindhu Tolani, Abhishek, Mohit"
2003,Telugu,Jose Punnose,"Suraj Balajee, S.P. Balasubramaniam, Tirlok Malik, Pooja Kumar"
2003,Telugu,Puri Jagannadh,"Ravi Teja, Asin Thottumkal, Jayasudha, Prakash Raj, Ali"
2003,Telugu,Pawan Kalyan,"Pawan Kalyan, Renu Desai, Raghuvaran, M. S. Narayana"
2003,Telugu,Teja,"Mahesh Babu, Rakshita, Raasi, Gopichand"
2003,Telugu,B. Gopal,"Nandamuri Balakrishna, Sonali Bendre, Aarti Agarwal, Mukesh Rishi"
2003,Telugu,Konda,"Tarun, Sridevi Vijayakumar, Anitha, Giri Babu"
2003,Telugu,S. S. Rajamouli,"Jr. NTR, Bhoomika Chawla, Ankitha, Nasser"
2003,Telugu,Vikraman,"Daggubati Venkatesh, Aarti Agarwal, Kalyani, Tanikella Bharani, Sunil"
2003,Telugu,Malli,"Allari Naresh, Sadha, Seetha, M. S. Narayana, Kovai Sarala"
2003,Telugu,K. Dasaradh,"Nitin, Nikita Thukral, Giri Babu, Seetha"
2003,Telugu,Bheemineni Srinivas,"Ravi Teja, Kalyani, Rekha Vedavyas, Tanikella Bharani"
2003,Telugu,Raja Shekar,"Uday Kiran, Shriya Saran, Krishnam Raju, Suman"
2003,Telugu,E. V. V. Satyanarayana,"Sivaji, Aryan Rajesh, Bhoomika Chawla, Anitha Hassandhani"
2003,Telugu,V. V. Vinayak,"Chiranjeevi, Jyothika, Shriya Saran"
2003,Telugu,Ramana,"Tarun, Shriya Saran, Sunil"
2003,Telugu,Puri Jagannadh,"Akkineni Nagarjuna, Asin Thottumkal, Rakshita, Prakash Raj"
2003,Telugu,Ravi Raja Pinisetty,"Ravi Teja, Reema Sen, Aarti Agarwal, Shayaji Shinde"
2003,Telugu,Neelakanta,"Bhoomika Chawla, Sivaji, Laya, Tanikella Bharani"
2003,Telugu,Jyoti Krishna,"Tarun, Trisha Krishnan, Shriya Saran, Sunil, Reema Sen, Archana Puran Singh"
2003,Telugu,Surya Kiran,"Sumanth, Genelia D'Souza, Brahmanandam, Kota Srinivasa Rao"
2004,Telugu,Puri Jagannadh,"Jr. NTR, Rakshita, Shayaji Shinde, Rahul Dev, Sanghavi"
2004,Telugu,Jayanth C. Paranjee,"Nandamuri Balakrishna, Asin Thottumkal, Prakash Raj, K. Vishwanath, Sunil, Brahmanandam"
2004,Telugu,Sobhan,"Prabhas, Trisha Krishnan, Gopichand, Prakash Raj, Sudha Chandran"
2004,Telugu,Kodi Ramakrishna,"Chiranjeevi, Namrata Shirodkar, Tinu Anand, M. S. Narayana, Ramya Krishna, Reemma Sen"
2004,Telugu,S. V. Krishna Reddy,"Jagapati Babu, Neha, Suman, Prakash Raj"
2004,Telugu,Vijaya Bhaskar,"Venkatesh, Katrina Kaif, Kota Srinivasa Rao, Brahmanandam"
2004,Telugu,Teja,"Navdeep, Santhoshi, Ayesha Jhulka"
2004,Telugu,Srinu Vaitla,"Ravi Teja, Sneha, Ashutosh Rana, Brahmanandam"
2004,Telugu,A Mohana Gandhi,"Sarath Babu, Srinath, Rajiv Kanakala, Raja, Krishna Bhagavaan"
2004,Telugu,V. N. Aditya,"Nagarjuna, Shriya Saran, Aarti Agarwal, Ali"
2004,Telugu,E. Sathibabu,"Allari Naresh, Veda Shastry, Abhishek"
2004,Telugu,G Ram Prasad,"Jagapati Babu, Venu Thottempudi, Sangeetha, Nikita Thukral, Ramya Krishna"
2004,Telugu,Paruchuri Murali,"Jagapati Babu, Kalyani, Sarath Babu, K Vishwanath, Kota Srinivasa Rao"
2004,Telugu,Sukumar,"Allu Arjun, Anuradha Mehta, Siva Balaji"
2004,Telugu,S. J. Suryah,"Mahesh Babu, Amisha Patel, Devayani, Kiran Rathod, Raghuvaran"
2004,Telugu,B. Gopal,"Prabhas, Aarti Agarwal, Nasser, Seema"
2004,Telugu,V. V. Vinayak,"Jr. NTR, Genelia D'Souza, Bhoomika Chawla, Prakash Raj"
2004,Telugu,Nidhi Prasad,"Rajendra Prasad, Prabhu Deva, Ankitha, Kiran Rathod"
2004,Telugu,A. S. Ravikumar Chowdhary,"Gopichand, Sameera Bannerjee, Prakash Raj"
2004,Telugu,Bala Sekharan,"Sivaji, Meera Jasmine"
2004,Telugu,Gautham Menon,"Venkatesh, Asin, Daniel Balaji"
2004,Telugu,Subramanyam Siva,"Manoj Manchu, Sadha, Varshitha, Sunil, Siva Reddy"
2004,Telugu,S. Gopal Reddy,"Ravi Teja, Bhoomika Chawla, Gopika, Mallika"
2004,Telugu,Gunasekhar,"Mahesh Babu, Keerthi Reddy, Shriya Saran, Prakash Raj"
2004,Telugu,Puri Jagannadh,"Sairam Shankar, Samiksha, Flora"
2004,Telugu,Ram Gopal Verma,"J. D. Chakravarthy, Aamani, Priyanka, Venkat, Bhanuchander, Brahmaji"
2004,Telugu,B.V. Ramana,"Sumanth, Charmme, Atul Kulkarni"
2004,Telugu,Veera Shankar,"Pawan Kalyan, Meera Jasmine"
2004,Telugu,S.S. Rajamouli,"Nitin, Genelia D'Souza, Pradeep Rawat"
2004,Telugu,Vikraman,"Venu Thottempudi, Ashima Bhalla, Abhirami, Kiran Rathod"
2004,Telugu,Sekhar Kammula,"Raja, Kamalinee Mukherjee"
2004,Telugu,Jayanth C. Paranjee,"Chiranjeevi, Srikanth, Sonali Bendre, Paresh Rawal"
2004,Telugu,K. Viswanath,"K. Vishwanath, Srikanth, Laya, Urvashi"
2004,Telugu,Sri Raghava,"Ravi Krishna, Sonia Agarwal, Suman Setty, Chandra Mohan"
2004,Telugu,Sobhan,"Ravi Teja, Charmme"
2004,Telugu,Jayanth C. Paranjee,"Tarun, Nauheed Cyrusi"
2004,Telugu,Chandra Sidhartha,"Rajendra Prasad, Amani"
2004,Telugu,Swarna Subba Rao,"Nandamuri Balakrishna, Laya, Ankitha"
2004,Telugu,Raghava Lawrence,"Nagarjuna, Jyothika, Charmme"
2005,Telugu,A. Karunakaran,"Pawan Kalyan, Shriya Saran, Neha Oberoi, Gulshan Grover, Milind Gunaji"
2005,Telugu,Prabhu Deva,"Siddharth, Trisha Krishnan, Srihari"
2005,Telugu,Vara Mullapudi,"Jr. NTR, Shriya Saran, Genelia D'Souza"
2005,Telugu,E. V. V. Satyanarayana,"Aryan Rajesh, Deepika Chikhalia, Brahmanandam"
2005,Telugu,Sabhapati,"Jagapati Babu, Kalyani, Ramaraju, M. S. Narayana"
2005,Telugu,V. N. Aditya,"Navdeep, Ankitha, Sandeep, Tanikella Bharani"
2005,Telugu,Muppulaneni Siva,"Venkatesh, Sneha, Siva Balaji, Sharwanand, Srikanth, Sangeetha"
